"","x"
"1999-11-29",258
"1999-12-06",258
"1999-12-13",262.5
"2000-01-03",295
"2000-01-10",280
"2000-01-17",281
"2000-01-24",293.5
"2000-01-31",292.5
"2000-02-07",324
"2000-02-14",336
"2000-02-21",352.5
"2000-02-28",320
"2000-03-06",327.5
"2000-03-13",339
"2000-03-20",319
"2000-03-27",312.5
"2000-04-03",280
"2000-04-10",277.5
"2000-04-17",275
"2000-04-24",274.5
"2000-05-01",237.5
"2000-05-08",234.5
"2000-05-15",242.5
"2000-05-22",243
"2000-05-29",247.5
"2000-06-05",247.5
"2000-06-12",292.5
"2000-06-19",294.5
"2000-06-26",292.5
"2000-07-03",296.5
"2000-07-10",297.5
"2000-07-17",289
"2000-07-24",282.5
"2000-07-31",274
"2000-08-07",268
"2000-08-14",269
"2000-08-21",286.5
"2000-08-28",311
"2000-09-04",332.5
"2000-09-11",367.5
"2000-09-18",367.5
"2000-09-25",367.5
"2000-10-02",351.5
"2000-10-09",343
"2000-10-16",345
"2000-10-23",349
"2000-11-06",350.5
"2000-11-13",342.5
"2000-11-20",350.5
"2000-11-27",360.5
"2000-12-04",340
"2000-12-11",320
"2000-12-18",310
"2001-01-08",367
"2001-01-15",376.5
"2001-01-22",352.5
"2001-01-29",317.5
"2001-02-05",297.5
"2001-02-12",295
"2001-02-20",288
"2001-02-27",286.5
"2001-03-05",275.5
"2001-03-12",273.5
"2001-03-19",278
"2001-03-26",291
"2001-04-02",285.5
"2001-04-09",283
"2001-04-23",275.5
"2001-04-30",274
"2001-05-07",274
"2001-05-14",276.5
"2001-05-21",274.5
"2001-05-28",272.5
"2001-06-04",259.5
"2001-06-11",240.5
"2001-06-18",235.5
"2001-06-25",222.5
"2001-07-02",209
"2001-07-09",210.5
"2001-07-16",200
"2001-07-23",190
"2001-07-30",199
"2001-08-06",210
"2001-08-13",215
"2001-08-20",225.5
"2001-08-27",224
"2001-09-03",225
"2001-09-10",230
"2001-09-17",241.5
"2001-09-24",237.5
"2001-10-01",203.5
"2001-10-08",216.5
"2001-10-15",216.5
"2001-10-22",207.5
"2001-10-29",198
"2001-11-05",201
"2001-11-12",202
"2001-11-19",174
"2001-11-26",172.5
"2001-12-03",159
"2001-12-10",166
"2001-12-17",198
"2002-01-07",247.5
"2002-01-14",230
"2002-01-21",209
"2002-01-28",223
"2002-02-04",202
"2002-02-11",204
"2002-02-18",191
"2002-02-25",180
"2002-03-04",197
"2002-03-11",206
"2002-03-18",217.5
"2002-03-25",225.5
"2002-04-08",229
"2002-04-15",232
"2002-04-22",227
"2002-04-29",218
"2002-05-06",215
"2002-05-13",212.5
"2002-05-20",212.5
"2002-05-27",215
"2002-06-03",212
"2002-06-10",210
"2002-06-17",210
"2002-06-24",205.5
"2002-07-01",205
"2002-07-08",208.5
"2002-07-15",208
"2002-07-22",205.5
"2002-07-29",205
"2002-08-05",206.5
"2002-08-12",205
"2002-08-19",204.5
"2002-08-26",230.5
"2002-09-02",241
"2002-09-09",243
"2002-09-16",265.5
"2002-09-23",278
"2002-09-30",284
"2002-10-07",298
"2002-10-14",294
"2002-10-21",290
"2002-10-28",282.5
"2002-11-04",272
"2002-11-11",284.5
"2002-11-18",285
"2002-11-25",292
"2002-12-02",313.5
"2002-12-09",329.5
"2002-12-16",354.5
"2003-01-06",357
"2003-01-13",354.5
"2003-01-20",370
"2003-01-27",363
"2003-02-03",381.5
"2003-02-10",403.5
"2003-02-17",489
"2003-02-24",485.5
"2003-03-03",469
"2003-03-10",409
"2003-03-17",362.5
"2003-03-24",337.5
"2003-03-31",296
"2003-04-07",237.5
"2003-04-14",232.5
"2003-04-28",216
"2003-05-05",202
"2003-05-12",201
"2003-05-19",204
"2003-05-26",215.5
"2003-06-02",215.5
"2003-06-09",249.5
