"","x"
"1999-12-13",250
"2000-01-03",243
"2000-01-10",227
"2000-01-17",251
"2000-01-24",254
"2000-01-31",246
"2000-02-07",264
"2000-02-14",282
"2000-02-21",293
"2000-02-28",313
"2000-03-06",330.5
"2000-03-13",323.5
"2000-03-20",311
"2000-03-27",313
"2000-04-03",312
"2000-04-10",282
"2000-04-17",273.5
"2000-04-24",293
"2000-05-01",295
"2000-05-08",303.5
"2000-05-15",327
"2000-05-22",364
"2000-05-29",371
"2000-06-05",378.5
"2000-06-12",384
"2000-06-19",385.5
"2000-06-26",403
"2000-07-03",380
"2000-07-10",362
"2000-07-17",341
"2000-07-24",293.5
"2000-07-31",313.5
"2000-08-07",328
"2000-08-14",319
"2000-08-21",322
"2000-08-28",324
"2000-09-04",339
"2000-09-11",337
"2000-09-18",334
"2000-09-25",316
"2000-10-02",306.5
"2000-10-09",305
"2000-10-16",346
"2000-10-23",352
"2000-11-06",288.5
"2000-11-13",292
"2000-11-20",304
"2000-11-27",300
"2000-12-04",269
"2000-12-11",231.5
"2000-12-18",231
"2001-01-08",256.5
"2001-01-15",273.5
"2001-01-22",270.5
"2001-01-29",275.5
"2001-02-05",296.5
"2001-02-12",286.5
"2001-02-20",277.5
"2001-02-27",268
"2001-03-05",266
"2001-03-12",267
"2001-03-19",261.5
"2001-03-26",280.5
"2001-04-02",289
"2001-04-09",310.5
"2001-04-23",339.5
"2001-04-30",349
"2001-05-07",359.5
"2001-05-14",363
"2001-05-21",352
"2001-05-28",321
"2001-06-04",302.5
"2001-06-11",294.5
"2001-06-18",271
"2001-06-25",255
"2001-07-02",248.5
"2001-07-09",249.5
"2001-07-16",238.5
"2001-07-23",232.5
"2001-07-30",241.5
"2001-08-06",245.5
"2001-08-13",259.5
"2001-08-20",238
"2001-08-27",262
"2001-09-03",283
"2001-09-10",283.5
"2001-09-17",288.5
"2001-09-24",233.5
"2001-10-01",229.5
"2001-10-08",209.5
"2001-10-15",199.5
"2001-10-22",196
"2001-10-29",194
"2001-11-05",178
"2001-11-12",194.5
"2001-11-19",155.75
"2001-11-26",166.75
"2001-12-03",170
"2001-12-10",166.5
"2001-12-17",163.5
"2002-01-07",191.5
"2002-01-14",172.5
"2002-01-21",170.5
"2002-01-28",189
"2002-02-04",188.5
"2002-02-11",182.5
"2002-02-18",189
"2002-02-25",178.5
"2002-03-04",196
"2002-03-11",221.5
"2002-03-18",233.5
"2002-03-25",232.5
"2002-04-08",275.75
"2002-04-15",246
"2002-04-22",256.75
"2002-04-29",256
"2002-05-06",240.5
"2002-05-13",244
"2002-05-20",260.5
"2002-05-27",249
"2002-06-03",236.5
"2002-06-10",235
"2002-06-17",254.5
"2002-06-24",252.5
"2002-07-01",260.5
"2002-07-08",255.5
"2002-07-15",262
"2002-07-22",263.5
"2002-07-29",264
"2002-08-05",267.5
"2002-08-12",262.25
"2002-08-19",264.5
"2002-08-26",265.5
"2002-09-02",266
"2002-09-09",288
"2002-09-16",275
"2002-09-23",281.5
"2002-09-30",276.5
"2002-10-07",279.5
"2002-10-14",277
"2002-10-21",274.5
"2002-10-28",252.5
"2002-11-04",251.5
"2002-11-11",227.5
"2002-11-18",219
"2002-11-25",241
"2002-12-02",246.5
"2002-12-09",237.5
"2002-12-16",273
"2003-01-06",286
"2003-01-13",290.5
"2003-01-20",306
"2003-01-27",303.5
"2003-02-03",318
"2003-02-10",343.5
"2003-02-17",315
"2003-02-24",332
"2003-03-03",311
"2003-03-10",325.5
"2003-03-17",293.5
"2003-03-24",253
"2003-03-31",295
"2003-04-07",257.5
"2003-04-14",248.5
"2003-04-28",250
"2003-05-05",235.5
"2003-05-12",251
"2003-05-19",259.5
"2003-05-26",266.5
