"","x"
"1999-09-06",177.5
"1999-09-13",186
"1999-09-20",184.75
"1999-09-27",189.5
"1999-10-04",189.5
"1999-10-11",171
"1999-10-18",186.5
"1999-10-25",189
"1999-11-02",183
"1999-11-08",186.5
"1999-11-15",206.75
"1999-11-22",221.25
"1999-11-29",213.5
"1999-12-06",209.75
"1999-12-13",206.25
"2000-01-03",226
"2000-01-10",203
"2000-01-17",220.5
"2000-01-24",234.75
"2000-01-31",217.5
"2000-02-07",227.25
"2000-02-14",223.75
"2000-02-21",225.5
"2000-02-28",234
"2000-03-06",247
"2000-03-13",232.25
"2000-03-20",226
"2000-03-27",221.75
"2000-04-03",215.5
"2000-04-10",203.5
"2000-04-17",212
"2000-04-24",223.25
"2000-05-01",221.5
"2000-05-08",210
"2000-05-15",228.75
"2000-05-22",230.75
"2000-05-29",233.5
"2000-06-05",229.25
"2000-06-12",235.5
"2000-06-19",231.625
"2000-06-26",248.375
"2000-07-03",258.75
"2000-07-10",243
"2000-07-17",250.5
"2000-07-24",246.875
"2000-07-31",245.875
"2000-08-07",253.375
"2000-08-14",267.625
"2000-08-21",287.25
"2000-08-28",303.375
"2000-09-04",320.25
"2000-09-11",329.75
"2000-09-18",332.25
"2000-09-25",302.75
"2000-10-02",299.5
"2000-10-09",299.25
"2000-10-16",316.75
"2000-10-23",304.25
"2000-11-06",275.125
"2000-11-13",302.375
"2000-11-20",340.125
"2000-11-27",314
"2000-12-04",294.625
"2000-12-11",266.125
"2000-12-18",253.875
"2001-01-08",233.5
"2001-01-15",228
"2001-01-22",230.75
"2001-01-29",230.25
"2001-02-05",230.625
"2001-02-12",238.25
"2001-02-20",239.25
"2001-02-27",225.75
"2001-03-05",232.75
"2001-03-12",223.875
"2001-03-19",215.25
"2001-03-26",223.25
"2001-04-02",215.5
"2001-04-09",223.75
"2001-04-23",232.25
"2001-04-30",235.875
"2001-05-07",237.25
"2001-05-14",229.25
"2001-05-21",246.125
"2001-05-28",237.875
"2001-06-04",236.375
"2001-06-11",243.625
"2001-06-18",243
"2001-06-25",231.375
"2001-07-02",226.75
"2001-07-09",226.5
"2001-07-16",217.875
"2001-07-23",222
"2001-07-30",223.25
"2001-08-06",226.625
"2001-08-13",229.5
"2001-08-20",221.125
"2001-08-27",227.625
"2001-09-03",231.25
"2001-09-10",239.875
"2001-09-17",262.875
"2001-09-24",214
"2001-10-01",211.625
"2001-10-08",207.25
"2001-10-15",206.75
"2001-10-22",209.375
"2001-10-29",199.625
"2001-11-05",184.25
"2001-11-12",190.75
"2001-11-19",158.125
"2001-11-26",163.75
