"","x"
"1994-01-03",67.5
"1994-01-10",71.5
"1994-01-17",80
"1994-01-24",81.5
"1994-01-31",80.5
"1994-02-07",88.5
"1994-02-14",86.5
"1994-02-21",85.5
"1994-02-28",88
"1994-03-07",87.5
"1994-03-14",83
"1994-03-21",79
"1994-03-28",79
"1994-04-11",75.5
"1994-04-18",77
"1994-04-25",82
"1994-05-02",83
"1994-05-09",83.5
"1994-05-16",85
"1994-05-23",83.5
"1994-05-30",81.5
"1994-06-06",89
"1994-06-13",89
"1994-06-20",92.5
"1994-06-27",92.5
"1994-07-04",97.5
"1994-07-11",96
"1994-07-18",99
"1994-07-25",99.5
"1994-08-01",100.5
"1994-08-08",101.5
"1994-08-22",88
"1994-08-29",88
"1994-09-05",85
"1994-09-12",84
"1994-09-19",83.5
"1994-09-26",83.5
"1994-10-03",87
"1994-10-10",105
"1994-10-17",102.5
"1994-10-24",104
"1994-11-07",106
"1994-11-14",107.5
"1994-11-21",111
"1994-11-28",107
"1994-12-05",108
"1994-12-12",108.5
"1994-12-19",108.5
"1995-01-02",107
"1995-01-09",114
"1995-01-16",114.5
"1995-01-23",114
"1995-01-30",109
"1995-02-06",108
"1995-02-13",109
"1995-02-20",110.5
"1995-02-27",111
"1995-03-06",109.5
"1995-03-13",109
"1995-03-20",107.5
"1995-03-27",107
"1995-04-03",105.5
"1995-04-10",109
"1995-04-24",114
"1995-05-02",114.25
"1995-05-08",116
"1995-05-15",114.5
"1995-05-22",115
"1995-05-29",115
"1995-06-06",111.25
"1995-06-12",109.5
"1995-06-19",101.5
"1995-06-26",98
"1995-07-03",97
"1995-07-10",96.25
"1995-07-17",95.5
"1995-07-24",86
"1995-07-31",84
"1995-08-07",85
"1995-08-21",83.5
"1995-08-28",86
"1995-09-04",88
"1995-09-11",91
"1995-09-18",91
"1995-09-25",90.5
"1995-10-02",91.5
"1995-10-09",93
"1995-10-16",93
"1995-10-23",93.5
"1995-10-30",95
"1995-11-06",96
"1995-11-13",96
"1995-11-20",96
"1995-11-27",96
"1995-12-04",100
"1995-12-11",112
"1995-12-18",112
"1996-01-08",124.5
"1996-01-15",116.5
"1996-01-22",111.5
"1996-01-29",102
"1996-02-05",108
"1996-02-12",108
"1996-02-19",110.5
"1996-02-26",110
"1996-03-04",107.5
"1996-03-11",107.5
"1996-03-18",114
"1996-03-25",114
"1996-04-01",117.5
"1996-04-15",119
"1996-04-22",117
"1996-04-29",116
"1996-05-06",116
"1996-05-13",114
"1996-05-20",113
"1996-05-28",112.5
"1996-06-03",101
"1996-06-10",97
"1996-06-17",97
"1996-06-24",98.5
"1996-07-01",98.5
"1996-07-08",101
"1996-07-15",103
"1996-07-22",105.5
"1996-07-29",105
"1996-08-05",102
